"time (UTC)","Array Voltage (V)","Array Current (A)","Input Power (W)","Array Pmax(last sweep) (W)","Array Vmp (last sweep) (V)","Array Voc (last sweep) (V)","Battery Voltage (V)","Battery Voltage(slow) (V)","Battery Terminal Voltage (V)","Battery Sense Voltage (V)","Min. Battery Voltage(slow) (V)","Max. Battery Voltage(slow) (V)","Battery Current (A)","Battery Current(slow) (A)","Output Power (W)","Target Regulation Voltage (V)","Charge State ()","RTS Temperature (C)","Battery Temperature (C)","Heatsink Temperature (C)","Ah Charge Resetable (Ah)","Ah Charge Total (Ah)","kWh Charge Resetable (kWh)","kWh Charge Total (kWh)","LED State ()","Faults ()","Faults Daily ()","Alarms ()","Alarms Daily ()","Hourmeter (hrs)","Settings Switches ()"
"2021-05-18T15:34:54.225+00:00","432.50","-0.03","-14.01","364.00","394.00","464.75","54.91","54.78","54.78","54.81","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.17","27.17","33.41","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:34:59.225+00:00","432.50","-0.03","-14.01","364.00","394.00","464.75","54.91","54.78","54.78","54.81","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.17","27.17","33.41","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:04.225+00:00","432.50","-0.03","-14.01","364.00","394.00","464.75","54.91","54.78","54.78","54.81","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.17","27.17","33.41","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:09.225+00:00","432.25","-0.03","-15.81","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","0.06","0.01","0.00","54.53","Float","27.19","27.19","33.38","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:14.225+00:00","432.25","-0.03","-15.81","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","0.06","0.01","0.00","54.53","Float","27.19","27.19","33.38","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:19.225+00:00","432.25","-0.03","-15.81","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","0.06","0.01","0.00","54.53","Float","27.19","27.19","33.38","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:24.226+00:00","432.25","-0.03","-13.67","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.04","0.01","0.00","54.53","Float","27.19","27.19","33.34","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:29.226+00:00","432.25","-0.03","-13.67","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.04","0.01","0.00","54.53","Float","27.19","27.19","33.34","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:34.226+00:00","432.25","-0.03","-13.67","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.04","0.01","0.00","54.53","Float","27.19","27.19","33.34","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:39.225+00:00","432.25","-0.03","-14.93","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.19","27.19","33.31","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
