"time (UTC)","Flags","Vb_max_daily","Vb_min_daily","Va_max_daily","Ahc_daily","Whc_daily","time_equalize_daily","time_absorption_daily","time_float_daily","fault_daily","alarm_daily"
"2020-09-19T09:01:43.000+00:00","power on reset, alarm occurred","50.78","50.38","107.06","28.50","1440","0","0","0","","RTS Open, Controller was Reset"
"2020-09-20T01:01:43.000+00:00","power on reset, alarm occurred","50.78","50.55","105.55","11.30","570","0","0","0","","RTS Open, Controller was Reset"
"2020-09-21T01:01:43.000+00:00","alarm occurred","51.22","50.59","110.95","80.90","4130","0","0","0","","RTS Open"
"2020-09-22T01:01:43.000+00:00","alarm occurred","51.15","50.89","105.84","28.20","1440","0","0","0","","RTS Open"
"2020-09-23T00:01:43.000+00:00","power on reset, alarm occurred","51.69","51.00","111.95","93.70","4820","0","0","0","","RTS Open, Controller was Reset"
"2020-09-24T00:01:43.000+00:00","alarm occurred","51.98","51.34","111.13","82.40","4270","0","0","0","","RTS Open"
"2020-09-25T00:01:43.000+00:00","alarm occurred","52.44","51.71","110.81","81.20","4240","0","0","0","","RTS Open"
"2020-09-25T22:01:43.000+00:00","power on reset, alarm occurred","53.28","52.37","109.53","86.20","4560","0","0","0","","RTS Open, Controller was Reset"
"2020-09-26T02:01:43.000+00:00","alarm occurred","53.81","53.03","112.86","29.90","1600","0","0","0","","RTS Open"
"2020-09-27T03:01:43.000+00:00","power on reset, alarm occurred","53.60","53.38","0.10","0.00","0","0","0","0","","RTS Open, Controller was Reset"
"2020-09-28T04:01:43.000+00:00","alarm occurred","53.40","53.25","0.10","0.00","0","0","0","0","","RTS Open"
"2020-09-29T05:01:43.000+00:00","alarm occurred","53.27","53.13","0.10","0.00","0","0","0","0","","RTS Open"
"2020-09-30T06:01:43.000+00:00","alarm occurred","53.15","53.06","0.10","0.00","0","0","0","0","","RTS Open"
"2020-09-30T07:01:43.000+00:00","alarm occurred","53.09","53.04","100.12","0.00","0","0","0","0","","RTS Open"
"2020-09-30T21:01:43.000+00:00","alarm occurred","53.11","53.00","100.09","0.60","30","0","0","0","","RTS Open"
"2020-10-01T07:01:43.000+00:00","alarm occurred, fault occurred","54.14","52.99","111.37","39.40","2120","0","0","0","Overcurrent, Software Fault","RTS Open"
"2020-10-02T00:01:43.000+00:00","power on reset, alarm occurred, fault occurred","54.07","53.27","104.15","0.90","40","0","0","0","Software Fault","RTS Open, Controller was Reset"
"2020-10-02T14:01:43.000+00:00","power on reset, alarm occurred","53.10","52.94","102.01","1.60","80","0","0","0","","RTS Open, Controller was Reset"
"2020-10-03T02:01:43.000+00:00","alarm occurred","54.51","52.94","111.79","100.70","5440","0","1","0","","RTS Open"
"2020-10-03T16:01:43.000+00:00","power on reset, alarm occurred","53.07","52.92","94.65","0.30","10","0","0","0","","RTS Open, Controller was Reset"
"2020-10-04T03:01:43.000+00:00","alarm occurred","53.46","52.90","110.12","21.80","1160","0","3","0","","RTS Open"
"2020-10-04T11:01:43.000+00:00","power on reset, alarm occurred","54.03","53.31","111.53","43.80","2360","0","205","0","","RTS Open, Controller was Reset"
"2020-10-04T23:01:43.000+00:00","power on reset, alarm occurred","54.00","53.79","64.09","0.00","0","0","3","0","","RTS Open, Controller was Reset"
"2020-10-05T23:01:43.000+00:00","alarm occurred","54.02","53.76","108.84","13.00","700","0","370","0","","RTS Open"
"2020-10-06T13:01:43.000+00:00","power on reset, alarm occurred","53.76","53.03","98.71","0.50","20","0","1","0","","RTS Open, Controller was Reset"
"2020-10-07T13:01:43.000+00:00","alarm occurred","54.02","53.01","111.28","72.40","3900","0","394","0","","RTS Open"
"2020-10-07T15:01:43.000+00:00","power on reset, alarm occurred","53.01","52.79","108.18","8.50","450","0","0","0","","RTS Open, Controller was Reset"
"2020-10-08T05:01:43.000+00:00","power on reset, alarm occurred","52.87","52.33","105.79","2.30","120","0","0","0","","RTS Open, Controller was Reset"
"2020-10-08T08:01:43.000+00:00","alarm occurred","52.51","52.31","107.63","5.60","290","0","0","0","","RTS Open"
"2020-10-08T10:01:43.000+00:00","power on reset, alarm occurred, fault occurred","52.83","52.34","113.65","8.80","460","0","0","0","Software Fault","RTS Open, Controller was Reset"
"2020-10-08T11:01:43.000+00:00","power on reset, alarm occurred","52.80","52.33","110.02","11.80","620","0","0","0","","RTS Open, Controller was Reset"
"2020-10-09T02:01:43.000+00:00","power on reset, alarm occurred","52.59","52.04","109.21","8.90","460","0","0","0","","RTS Open, Controller was Reset"
